trip_history_id,trip_origin,trip_destination,trip_mode,actual_origin_latitude,actual_origin_longitude,actual_destination_latitude,actual_destination_longitude,actual_departure_time,actual_arrival_time,actual_travel_time,actual_distance,fuel_economy,fes,average_speed,total_mileage
cb485d32-e85d-4449-b7cf-2ee7efeeb34f,"5320 South Center Drive (39.0024924550393, -76.9151034979828)","Glenn L. Martin Hall (38.988892, -76.9381634)",drive,39.0035148,-76.91499886,38.99000383,-76.937249,2018-05-03 22:03:01.198+00,2018-05-03 22:12:27.221+00,9,4411.258484,11.49809348,20,13.54542118,2.791696198
e586aa0b-121d-4f51-964d-96b60ac14c62,"8314 Paint Branch Drive (38.9935693005463, -76.937248734829)","Giant Food (38.9994446, -76.9106374)",drive,38.99449433,-76.93722325,38.998538,-76.91188107,2018-05-03 22:28:13.072+00,2018-05-03 22:37:31.124+00,9,3786.592187,19.8227938,83.42759699,18.86107217,2.349161477
f53462fe-9368-4c72-9e98-1b444a36498e,"16220-16248 Frederick Road (39.1220469684153, -77.177310349037)","5299 Perring Parkway (39.3516534, -76.5803475)",drive,39.122861,-77.18985273,39.35069713,-76.58153686,2018-05-04 14:03:38.136+00,2018-05-04 15:12:23.537+00,68,98097.07046,27.7449636,31.86569594,53.23681266,55.22810061
a862634e-8a67-4c8f-9b56-fef9720c855e,"5640 Nicholson Lane (39.0442447, -77.1130095)","4524 Chestnut Street (38.9934069, -77.091408)",drive,39.04440831,-77.11271365,38.9934204,-77.09153987,2018-05-04 22:00:03.368+00,2018-05-04 22:18:06.731+00,18,6317.568352,15.20621155,20,20.94574183,3.930019944
f3771c7c-7aec-4eb0-97a2-a156bff72e2d,"8228 Paint Branch Drive (38.9907992491742, -76.937693035785)","Yett Gol (39.0607129, -77.0486278)",drive,38.99369071,-76.93649596,39.06036984,-77.04883693,2018-05-04 22:48:05.873+00,2018-05-04 23:19:41.493+00,31,14606.38515,23.28256803,69.06498778,20.36188476,9.07074451
3f5f99aa-09fc-4ac8-a3b7-349aa0a2b9cc,"12019 Georgia Avenue (39.0522840293488, -77.0502025075974)","6200 Westchester Park Dr (38.9921522, -76.8992787)",drive,39.05229744,-77.05020712,38.99255748,-76.89882098,2018-05-05 00:40:21.129+00,2018-05-05 01:06:06.249+00,25,17813.03536,20.83008941,20,36.32372645,11.05402369
a6952a4b-2510-434d-ad75-c15efd4f5dea,"5316 South Center Drive (39.0024525745711, -76.915224525618)","Wells Fargo Bank (38.9641737, -76.9388556)",drive,39.00254203,-76.9151883,38.9655157,-76.93901715,2018-05-05 17:07:42.879+00,2018-05-05 17:28:44.24+00,21,5974.176065,17.99175421,55.25775705,15.09046031,3.714148279
9686c612-7fb2-493a-b5ba-5754d5c0d1cd,"East-West Highway (38.9604656477121, -76.9202162912714)","5342 S Center Dr (39.002088, -76.914318)",drive,38.96085116,-76.91976263,39.00253658,-76.91592937,2018-05-05 17:44:59.954+00,2018-05-05 17:54:02.121+00,9,6535.416794,24.40709787,24.60217478,30.08134385,4.061252727
9d5c90fd-d037-4cae-8e01-99bf193b12d1,"9815-9999 Baltimore National Pike (39.2785773938888, -76.8492407631845)","5342 S Center Dr (39.002088, -76.914318)",drive,39.27830742,-76.84648954,39.00253913,-76.9159362,2018-05-05 23:55:11.639+00,2018-05-06 00:26:25.244+00,31,46585.21175,9.903256569,20,10.52695621,29.00068148
a21a8567-ef00-42ea-a3b8-0c5e15c4fbe9,"5316 South Center Drive (39.002432233542, -76.9151811613806)","Costco Wholesale (39.0324271, -76.9079331)",drive,39.00255161,-76.91524648,39.03234489,-76.90965895,2018-05-06 16:37:27.052+00,2018-05-06 16:46:35.175+00,9,5779.266525,24.91278754,96.81340493,25.34495271,3.593044352
