,trip_history_id,trip_origin,trip_destination,trip_mode,actual_origin_latitude,actual_origin_longitude,actual_destination_latitude,actual_destination_longitude,actual_departure_time,actual_arrival_time,actual_travel_time,actual_distance,fuel_economy,fes,average_speed,total_mileage,>40mph,>70mph,>1 accel,>5 accel,>5 deccel,Neg Jerk,Pos Jerk,95th Jerk,98th Jerk,%error
169,ec1ca905-742d-4f52-bd20-467eea19a94e,"5033 Garrett Ave, Beltsville, MD 20705, USA (39.0412373, -76.9055307)","9308 Cherry Hill Rd, College Park, MD 20740, USA (39.0178413391113, -76.938232421875)",drive,39.04126358,-76.90564728,39.01826096,-76.93674469,2018-05-28 17:07:02+00,2018-05-28 17:15:08+00,8,4709,23.83341685,78.44113788,25.00238006,2.932026666,0,0,0.373088685,0.226299694,0.003058104,0.474006116,0.49235474,46.01706482,56.2139162,0
170,ecbd603d-561a-4b12-9f62-d5d320f1d7cd,"5236 42nd Street Northwest (38.9584799716612, -77.0822429192039)","Beauvoir, The National Cathedral Elementary School (38.9298955, -77.0677969)",drive,38.95854351,-77.08211015,38.93106275,-77.06857751,2018-07-02 19:14:53.867+00,2018-07-02 19:25:57.316+00,11,3777.706896,19.27871342,75.05712955,17.17869763,2.348942212,0,0,0.34939759,0.227409639,0.001506024,0.43373494,0.432228916,42.3064356,57.25263063,0
171,f19623f8-6339-4818-bbda-0a74837aa4ae,"Anacostia Tributary Trail System (38.9932705467895, -76.9356092857226)","Costco Wholesale (39.0324271, -76.9079331)",drive,38.99357022,-76.93694321,39.03204043,-76.90956431,2018-05-18 20:45:56.985+00,2018-05-18 21:16:05.216+00,30,6860.952185,17.4581982,47.04920308,13.68402644,4.263867011,0.022664456,0,0.247650636,0.121614151,0.000552792,0.357656164,0.391376451,24.79002882,36.44226119,0
172,f3731ef2-4038-407a-ae71-0c22b00fbac3,"8314 Paint Branch Drive (38.9933752175784, -76.9369614031882)","5910 Greenbelt Road (38.9985941, -76.9132119)",drive,38.99378166,-76.93708453,38.9980651,-76.91465842,2018-05-17 22:11:20.382+00,2018-05-17 22:17:46.21+00,6,3441.311489,22.06533207,48.34607783,22.92434863,2.13510566,0.088082902,0,0.352331606,0.186528497,0.002590674,0.455958549,0.479274611,37.57054173,57.8523653,0
173,f3771c7c-7aec-4eb0-97a2-a156bff72e2d,"8228 Paint Branch Drive (38.9907992491742, -76.937693035785)","Yett Gol (39.0607129, -77.0486278)",drive,38.99369071,-76.93649596,39.06036984,-77.04883693,2018-05-04 22:48:05.873+00,2018-05-04 23:19:41.493+00,31,14606.38515,23.28256803,69.06498778,20.36188476,9.07074451,0.265060241,0,0.34939759,0.228915663,0.012048193,0.421686747,0.469879518,75.26247621,130.6561799,0
174,f53462fe-9368-4c72-9e98-1b444a36498e,"16220-16248 Frederick Road (39.1220469684153, -77.177310349037)","5299 Perring Parkway (39.3516534, -76.5803475)",drive,39.122861,-77.18985273,39.35069713,-76.58153686,2018-05-04 14:03:38.136+00,2018-05-04 15:12:23.537+00,68,98097.07046,27.7449636,31.86569594,53.23681266,55.22810061,0.904761905,0,0.333333333,0.238095238,0.047619048,0.571428571,0.523809524,38.0314973,127.5354471,0.447368421
175,f7ce7abd-917e-4281-a686-51cb5c29f5be,"Alumni Drive (38.9897626592209, -76.9493471738668)","6200 Westchester Park Dr (38.9921522, -76.8992787)",drive,38.98974778,-76.94942806,38.991307,-76.90057512,2018-05-23 00:13:04.575+00,2018-05-23 00:24:16.435+00,11,6223.670194,23.03649614,64.87653012,22.824847,3.863068582,0.145833333,0,0.400297619,0.227678571,0.001488095,0.483630952,0.495535714,40.22802109,55.7683784,0
176,f7d55268-1419-4421-8dfc-8112aa2e2a88,"5316 S Center Dr, Greenbelt, MD 20770, USA (39.002469, -76.9152019)","6600 Coastal Highway (38.388512, -75.064162)",drive,38.99838638,-76.91379547,38.36922455,-75.07078552,2018-05-26 13:42:20+00,2018-05-26 17:39:50+00,237,293159,77.88986101,100,15.03733567,181.9394562,0.12244898,0.013848397,0.285714286,0.145043732,0.000728863,0.335276968,0.375364431,39.56693296,70.4448887,0
177,f99653ca-1a15-4414-9d40-b8afb0c567a2,"5303 Smiths Cove Lane (39.0025814390173, -76.9151350949676)","387 Technology Dr (38.9924213, -76.9387364)",drive,39.00254825,-76.91517659,38.99319015,-76.93731495,2018-05-17 11:50:34.175+00,2018-05-17 12:02:35.235+00,12,4132.47,19.89033525,84.46669615,18.4421468,2.565604841,0.009708738,0,0.294036061,0.153952843,0.001386963,0.389736477,0.378640777,32.67716865,49.30840541,0
178,f9b7298a-42c0-463c-a0b1-e4be98a4b5ea,"109 Billingsgate Ln, Gaithersburg, MD 20877, USA (39.1506643, -77.1778974)","Gaithersburg Middle School (39.1440746, -77.1876965)",drive,39.15058899,-77.17797089,39.14303589,-77.18681335,2018-05-17 11:42:53+00,2018-05-17 11:46:42+00,3,1765,20.49342228,93.74495814,18.69461062,1.097604828,0,0,0.428571429,0.242857143,0.007142857,0.528571429,0.485714286,31.26148596,42.30118519,0
179,fa46b2cb-9848-47df-8af9-7d746fd89946,"5316 South Center Drive (39.0024135981801, -76.9152737657855)","387 Technology Dr (38.9924213, -76.9387364)",drive,39.00245058,-76.9151858,38.99319543,-76.93735912,2018-05-01 13:59:54.923+00,2018-05-01 14:09:18.133+00,9,4283.706435,22.72952319,59.65145858,22.11926453,2.659411107,0.121042831,0,0.305400372,0.147113594,0.001862197,0.407821229,0.432029795,25.6692939,39.0577458,0.007393715
180,fb46c226-5a12-474a-87ea-94a5d58eb06e,"4771 Sellman Rd, Beltsville, MD 20705, USA (39.033907, -76.9097465)","5342 S Center Dr, Greenbelt, MD 20770, USA (39.0020866394043, -76.9143142700195)",drive,39.03297043,-76.90948486,39.00253296,-76.91583252,2018-06-17 21:20:30+00,2018-06-17 21:30:23+00,9,7117,25.70802791,99,29.35610927,4.424839072,0.23929471,0,0.360201511,0.19395466,0.002518892,0.493702771,0.463476071,31.13517361,42.42913796,0
181,fc1ff711-de55-410c-b218-e8bca646f799,"452 Chestnut Street (38.9936347632101, -77.0915420540395)","5640 Nicholson Lane (39.0442447, -77.1130095)",drive,38.99363108,-77.09151414,39.04444133,-77.11308044,2018-05-02 12:10:02.646+00,2018-05-02 12:35:29.854+00,25,6333.988121,11.83792475,20,17.60256576,3.940437933,0.065963061,0,0.340369393,0.131926121,0.002638522,0.46701847,0.509234828,30.6364861,59.05905993,0
182,fce3c6b6-22f5-410b-a18a-c7e6b9993d75,"5530-5532 Eastbourne Drive (38.7991386807947, -77.2425626052906)","9431 West Street (38.7507934, -77.4732371)",drive,38.79916367,-77.24270423,38.74802807,-77.45034849,2018-05-18 07:41:55.887+00,2018-05-18 14:18:51.074+00,396,34476.34211,3.725113205,20,22.99485619,21.37957591,0.593834505,0,0.287182261,0.135208221,0.000540833,0.4802596,0.482963764,54.4585946,95.02902726,0.004308024
183,fe22fb8c-96ff-4147-80be-a534d064b752,"10211 Baltimore Ave, College Park, MD 20740, USA (39.0219446, -76.9246068)","ALDI (39.0329613, -76.9120013)",drive,39.02194214,-76.92460632,39.03169632,-76.91208649,2018-06-29 00:06:26+00,2018-06-29 00:11:37+00,5,1646,19.1503179,73.08181385,16.98001139,1.028144976,0,0,0.335,0.195,0.005,0.37,0.445,45.43963694,58.55512377,0
